,sentence1,sentence2,score
44,رضا,رو أَشِدَّاءُ عَلَى الْكُفَّارِ باش‏  خاك بر دل دارى اغيار پاش‏,2.5
45,مستی,تافت نور صبح و ما از نور تو  در صبوحی با می منصور تو,5
46,ادب,از خدا جوییم توفیق ادب  بی ادب محروم گشت از لطف رب,5
47,مستی,مست را چون دل مزاح انديشه شد  اين ندانم و آن ندانم پيشه شد,3.5
48,نه سببها و اثرها مغز و پوست  چون بجویی جملگی آثار اوست,"چيست تعظيم خدا افراشتن‏		خويشتن را خوار و خاكى داشتن‏
",0.5
49,فراست,مصطفى فرمود اگر گويم به راست‏  شرح آن دشمن كه در جان شماست‏,3.5
50,طلب,ور به امر حق بخواهى آن رواست‏  آن چنان خواهش طريق انبياست‏,3
51,رضا,وَ ما رَمَيْتَ إِذْ رَمَيْتَ وَ لكِنَّ اللَّهَ رَمى‏,0
52,نبوت، رسالت,"با ملايك گفت يزدان آن زمان‏		كه نبوت را همى‏زيبد فلان‏
",1.5
53,لطف مخفى در ميان قهرها  در حدث پنهان عقيق بى‏بها,"حضرت پر رحمت است و پر كرم‏		عاشق او هم وجود و هم عدم‏
",3
54,حکایت اختلاف کردن در چگونگی و شکل پیل,بر شمار برگ بستان ضد و ند  چون كفى بر بحر بى‏ند است و ضد,2.5
55,هستی و خداوند,خويش من و الله كه بهر خويش تو  هر نفس خواهد كه ميرد پيش تو,2
56,هستی و خداوند,با چنين غالب خداوندى كسى‏  چون نميرد گر نباشد او خسى‏,3
57,هوش جزوی و کلی,هوش تو بى‏مى چنين پژمرده است‏  هوشها بايد بر آن هوش تو بست‏,3.5
58,لذت,می چه باشد یا سماع و یا جماع  تا بجویی زو نشاط و انتفاع,4
59,دیوانگی  دیوانه,پس فنون باشد جنون اين شد مثل‏  خاصه در زنجير اين مير اجل‏,4
60,جنس  هم جنس,سوى بام آمد ز متن ناودان‏  جاذب هر جنس را هم جنس دان‏,4
61,آن منى و هستى‏ات باشد حلال‏  كه در او بينى صفات ذو الجلال‏,اين زمين و سختيان پرده‏ست و بس‏  اصل روزى از خدا دان هر نفس‏,3.5
62,قضا و قدر,در چهى افتاد كان را غور نيست‏  و آن گناه اوست جبر و جور نيست‏,3
63,قهر گردد دشمن اما دوست نى‏  دوست كى گردد ببسته گردنى‏,با هوا و آرزو كم باش دوست‏  چون يضلك عن سبيل الله اوست‏,2
64,هوشیاری,روح را تاثير آگاهى بود  هر كه را اين بيش اللهى بود,3
65,ولی,انبیا را در درون هم نغمه هاست  طالبان را ز آن حیات بی بهاست,4
66,ضد,پس نهانيها به ضد پيدا شود  چون كه حق را نيست ضد پنهان بود,4.5
67,دان که هر رنجی ز مردن پاره یی است  جزو مرگ از خود بران گر چاره یی است,چه خبر دارى ز ختم عمر او  كه بگردانى از او يك باره رو,2
68,معرفت ذات  معرفت صفات,عاقبت بين است عقل از خاصيت‏  نفس باشد كاو نبيند عاقبت‏,3
69,جز ز یک رو نیست پیوسته به کل  ورنه خود باطل بدی بعث رسل,"شاه و سلطان و رسول حق كنون‏		هست داود نبى ذو فنون‏
",3
70,خیال و وهم و گمان ,ديد زايد از يقين بى‏امتهال‏  آن چنانك از ظن، مى‏زايد خيال‏,4
71,خیال و وهم و گمان ,عالم وهم و خيال چشم بند  آن چنان كه را ز جاى خويش كند,3.5
72,عشق صورتها بسازد در فراق  نامصور سر کند وقت تلاق,"عشق معشوقان دو رخ افروخته‏		عشق عاشق جان او را سوخته‏
",3
73,بشنو این نی چون شکایت میکند  از جدایی ها حکایت میکند,چون شكسته مى‏رهد اشكسته شو  امن در فقر است اندر فقر رو,0
74,سرپوشی  رازداری,چه عجب گر سر ز بد پنهان كنى‏  اين عجب كه سر ز خود پنهان كنى‏,4
75,آواز مطرب و آواز اولیاء,نطق جان را روضه‏ى جانيستى‏  گر ز حرف و صوت مستغنيستى‏,3.5
76,قهر و لطف,اندرین آتش بدیدم عالمی  ذره ذره اندرو عیسی‌دمی,4
77,حکم و قدر,حكم حق بر لوح مى‏آيد پديد  آن چنان كه حكم غيب بايزيد,3.5
78,دیوانگی  دیوانه,خواب احمق لايق عقل وى است‏  همچو او بى‏قيمت است و لاشى است‏,3.5
79,لذت,"كيست مولا آن كه آزادت كند		بند رقيت ز پايت بر كند
",2
80,معجزه,حال او ز آن روز شد خوب و بديد  آن عجايب را كه اول مى‏شنيد,1.5
81,دعا,پس چرا گويد دعا الا مگر  در دعا بيند رضاى دادگر,4.5
82,ضرورت پیروی از پیر,چون بدادى دست خود در دست پير  پير حكمت كه عليم است و خطير,5
83,سرپوشی  رازداری,عالم السر است پنهان دار كام‏  گفت كردم توبه پيشت اى همام‏,5
84,خداشناسی ,صنع بیند مرد محجوب از صفات  در صفات آنست کو گم کرد ذات,5
85,چون نمی‌داند دل داننده‌ای  هست با گردنده گرداننده‌ای,"هر چه جز عشق خداى احسن است‏		گر شكر خوارى است آن جان كندن است‏
",1.5
86,خواب,همچو حس آن كه خواب او را ربود  چون شد او بيدار عكسيت نمود,4
87,معجزه,گفت هستم غرق پيغام خدا  جادويى كى ديد با نام خدا,3
88,امتحان الهی,گفت پيغمبر كه وقت امتحان‏  آمد اكنون تا گمان گردد عيان‏,3
89,عشق آن شعله‌ست کو چون بر فروخت  هرچه جز معشوق باقی جمله سوخت,"عشق و ناموس اى برادر راست نيست‏		بر در ناموس اى عاشق مه‏ايست‏
",3
90,خوف و رجا,كيقبادى رسته از خوف و رجا  چند گردى چند جويى تا كجا,3.5
91,وهم و فهم ,عقل با عقل دگر دو تا شود  نور افزون گشت و ره پيدا شود,1
92,هر که بر در او من و ما میزند  رد باب است او و بر لا می تند,تا نگردد فوت اين نوع التقا  كآن نظر بخت است و اكسير بقا,2
93,چون نمی‌داند دل داننده‌ای  هست با گردنده گرداننده‌ای,"آن تفاوت هست در عقل بشر		كه ميان شاهدان اندر صور
",1
94,عشق و عقل,عقل را قربان كن اندر عشق دوست‏  عقلها بارى از آن سوى است كاوست‏,4.5
95,ضد,در عدم هستى برادر چون بود  ضد اندر ضد چون مكنون بود,4
96,وحدت وجود,"ز اختلاف خويش سوى اتحاد		هين ز هر جانب روان گرديد شاد
",0
97,چون که پیدا گشت سر کار او  معجزه داود شد فاش و دوتو,منع كرد از پير و پيرش جد گرفت‏  مانده خلق از جد پير اندر شگفت‏,3.5
98,عنایات حق,بحر مکار است بنموده کفی  دوزخ است از مکر بنموده تفی,5
99,سجود (سجده),گفت‏ وَ اسْجُدْ وَ اقْتَرِبْ‏ يزدان ما  قرب جان شد سجده‏ى ابدان ما,4.5
100,امتحان,پس محك مى‏بايدش بگزيده‏اى‏  در حقايق امتحانها ديده‏اى‏,3
101,مشورت  مصاحبت و همنشینی,مشورت با نفس خود گر مى‏كنى‏  هر چه گويد كن خلاف آن دنى‏,4.5
102,توکل,چون كه در عهد خدا كردى وفا  از كرم عهدت نگه دارد خدا,4
103,بخشش محضی ز لطف بی‌عوض  بودم اومید ای کریم بی‌عوض,"كاى خداوند كريم و بردبار		ده امانم زين دو شاخه‏ى اختيار
",3
104,درهوایت بی قرارم روز و شب  سر ز پایت بر ندارم روز و شب,"عاشق كل است و خود كل است او		عاشق خويش است و عشق خويش جو
",2.5
105,عالم توحید,چيست توحيد خدا آموختن‏  خويشتن را پيش واحد سوختن‏,2
106,مشورت  مصاحبت و همنشینی,مشورت را زنده‏اى بايد نكو  كه ترا زنده كند و آن زنده كو,4
107,معرفت,دانش آن بود موقوف سفر  نايد آن دانش به تيزى فكر,3.5
108,عشق ,"عشق زنده در روان و در بصر		هر دمى باشد ز غنچه تازه‏تر
",3
109,ابلیس,هيچ مى‏دانى چه وعده‏ست و چه داد  مى‏كند ابليس را حق افتقاد,4
110,آینۀ کلی تو را دیدم ابد  دیدم اندر چشم تو من نقش خود,بخشش بسيار دارد شه بدو  اى شده در وهم و تصويرى گرو,3
111,مثنوی ما دکان وحدتست  غیر واحد هرچه بینی آن بتست,"لا جرم در ظرف باشد اعتداد		در لهب‏ها نبود الا اتحاد
",0.5
112,خلق را از بند صندوق فسون  کی خرد جز انبیا و مرسلون,"وا نمايم راز رستاخيز را		نقد را و نقد قلب آميز را
",0.5
113,پیوند عشق مجازی با عشق حقیقی,اين ز عشقش خويش در چه مى‏كند  و آن به كين از بهر او چه مى‏كند,2.5
114,فراست,إِنَّ مَعَ الْعُسْرِ يُسْراً,0
115,مکر الهی,خواهد آن رحمت بتابد بر همه‏  بر بد و نيك از عموم مرحمه‏,3
116,تاویل,حق بود تاويل كان گرمت كند  پر اميد و چست و با شرمت كند,3.5
117,همچنین میرفت بر لفظش دعا  آن زمان چون مادران با وفا,دست اشكسته بر آور در دعا  سوى اشكسته پرد فضل خدا,5
118,نشانۀ دوستی,كرد مجنون را ز عشق پوستى‏  كاو بشناسد عدو از دوستى‏,4
119,اندرین آتش بدیدم عالمی  ذره ذره اندرو عیسی‌دمی,"خويش را عريان كن از فضل و فضول‏		تا كند رحمت به تو هر دم نزول‏
",1
120,پیوند عشق و بقا ,"وارهى از تنگى و از ننگ و نام‏		عشق اندر عشق بينى و السلام‏
",3
121,استدراج,حمله مى‏كن منع مى‏كن مى‏نگر  تا كه باشد ماده اندر صدق و نر,3.5
122,گفت آری بندهٔ خاص گزین  گشت رنجور، او منم نیکو ببین,"اصل ما و اصل جمله سركشان‏		هست از خاكى و آن را صد نشان‏
",1.5
123,وهم و فهم ,وهم را مژده ست و پيش عقل نقد  ز انكه چشم وهم شد محجوب فقد,4
124,عالم توحید,عالم اول جهان امتحان‏  عالم ثانى جزاى اين و آن‏,3
125,ولی,تا بماند دو قضيه سر و راز  هم نگردد مثنوى چندين دراز,1
126,تا خیال دوست در اسرار ماست  چاکری و جانسپاری کار ماست,"عشق آن بگزين كه جمله انبيا		يافتند از عشق او كار و كيا
",3
127,خویشتن را عارف و واله کنی  خاک در چشم مروت میزنی,تا بدين جا بهر دينار آمدم‏  چون رسيدم مست ديدار آمدم‏,4
128,نشانۀ دوستی,دوستان بين، كو نشان دوستان‏  دوستان را رنج باشد همچو جان‏,4
129,هوش جزوی و کلی,عقل جزوى عقل استخراج نيست‏  جز پذيراى فن و محتاج نيست‏,3
130,عنایات حق,ترك شكرش ترك شكر حق بود  حق او لا شك به حق ملحق بود,2
131,راز هستی,"راز را اندر ميان آور شها		رو مكن در ابر پنهانى مها
",1
132,خوف و رجا,خوف و جوع و نقص اموال و بدن‏  جمله بهر نقد جان ظاهر شدن‏,4.5
133,سخن ناقص  سخن شر,این مزاجت از جهان منبسط  وصف وحدت را کنون شد ملتقط,5
134,تزکیۀ نفس,عقل از جان گشت با ادراك و فر  روح او را كى شود زير نظر,2.5
135,عشق صورتها بسازد در فراق  نامصور سر کند وقت تلاق,"عشق صورتها بسازد در فراق‏		نامصور سر كند وقت تلاق‏
",5
136,دیوانگی  دیوانه,او اگر ديوانه است و فتنه كاو  داروى ديوانه باشد كير گاو,4.5
137,بر سماع راست هرکس چیر نیست  لقمۀ هر مرغکی انجیر نیست,مى چه باشد يا سماع و يا جماع‏  تا بجويى زو نشاط و انتفاع‏,4
138,فنا و عشق,عاشقانه در فتد با كر و فر  خورد امكان نى و بسته هر دو پر,3
139,عنایات حق,اين نشان در حق او باشد كه ديد  آن دگر را كى نشان آيد پديد,3
140,مرگ,چون ز زنده مرده بيرون مى‏كند  نفس زنده سوى مرگى مى‏تند,2.5
141,مفهوم درد,"درد داروى كهن را نو كند		درد هر شاخ ملولى خو كند
",2.5
142,دوست نمای فرعی,بعد از آن گر دوست دارد خويش را  دوستى خور بود آن اى فتا,3.5
143,هستی و خداوند,لابه كردى در نماز و در دعا  كاى خداوند و نگهبان رعا,3.5
144,صد هزاران سال ابليس لعين‏  بود ز ابدال و امير المؤمنين‏,چون بسى مى‏كرد فن و آن مى‏فتاد  گفت صد لعنت بر آن ابليس باد,4
145,دیوانگی  دیوانه,پس بدو گفت آن يكى اى ذو فنون‏  اين دوا خواهند از بهر جنون‏,3
146,كار بى‏علت مبرا از علل  مستمر و مستقر است از ازل‏,"وعده‏هاشان كرد و پيشين هم بداد		بندگان و اسبان و نقد و جنس و زاد
",1
147,قضا و قدر,لاجرم مى‏خواست تبديل قدر  تا قضا را باز گرداند ز در,4.5
148,خیال و وهم و گمان ,چون نيابد صورت آيد در خيال‏  تا كشاند آن خيالت در وبال‏,4.5
149,پیوند عشق و بقا ,"عامل عشق است معزولش مكن‏		جز به عشق خويش مشغولش مكن‏
",1
150,غیرت,كافر و مومن خدا گويند ليك‏  در ميان هر دو فرقى هست نيك‏,3
151,ضرورت پیروی از پیر و اولیا,گفت امت مشورت با كى كنيم‏  انبيا گفتند با عقل اميم‏,3
152,معجره,مشترى خواهى به هر دم پيچ پيچ‏  تو چه دارى كه فروشى هيچ هيچ‏,1
153,خیال و وهم و گمان ,عالم وهم و خيال چشم بند  آن چنان كه را ز جاى خويش كند,3.5
154,یک زنی با طفل آورد آن جهود  پیش آتش و اتش اندر شعله بود,مات او و مات او و مات او  كه همى‏دانيم تزويرات او,2
155,مکر الهی,او به سر دجال يك چشم لعين‏  اى خدا فريادرس نعم المعين‏,1
156,گفتم: آخر غرق توست این عقل و جان  گفت: رور رو، بر من این افسون مخوان,اصل غيرتها بدانيد از اله‏  آن خلقان فرع حق بى‏اشتباه‏,4
157,عالم توحید,رشته یکتا شد غلط کم شو کنون  گر دو تا بینی حروف کاف و نون,3
158,استدراج,7,0
159,مفهوم درد,"هيچ اصلى نيست مانند اثر		پس ندانى اصل رنج و درد سر
",3
160,غیرت,تو جهت گو من برونم از جهات‏  در وصال آيات كو يا بينات‏,2
161,استدراج,مى‏كشد استارگان را يك به يك‏  تا كه نفروزد چراغى از فلك‏,3
162,دعا,كاين نمازم را مياميز اى خدا  با نماز ضالين و اهل ريا,4
163,هوش جزوی و کلی,باز عقلی کو رمد از عقل عقل  کرد از عقلی به حیوانات نقل,5
164,سماع,باز صف گوشها را منصبى‏  در سماع جان و اخبار و نبى‏,3
165,بازگرد از هست سوی نیستی  طالب ربی و ربانیستی,كاين نمازم را مياميز اى خدا  با نماز ضالين و اهل ريا,4
166,جنس  هم جنس,اين چنين سيرى است مستثنى ز جنس‏  كان فزود از اجتهاد جن و انس‏,3.5
167,نبوت، رسالت,خلق را از بند صندوق فسون  کی خرد جز انبیا و مرسلون,5
168,تزکیۀ نفس,هرکه را دیدی به زر و سیم فرد  دان که اندر کسب کردن صبر کرد,5
169,ضرورت پیروی از پیر و انبیاء,پس گدايان آيت جود حق‏اند  و آن كه با حقند جود مطلق‏اند,3
170,گفت: اگرچه پاکم از ذکر شما  نیست لایق مرمرا تصویرها,دوستان بين، كو نشان دوستان‏  دوستان را رنج باشد همچو جان‏,4
171,طلب,اى كه تو طالب نه اى تو هم بيا  تا طلب يابى ازين يار وفا,4
172,تقلید,و آن چه لله مى‏كنم تقليد نيست‏  نيست تخييل و گمان جز ديد نيست‏,4
173,عشق آن شعله‌ست کو چون بر فروخت  هرچه جز معشوق باقی جمله سوخت,"عشق قهار است و من مقهور عشق‏		چون شكر شيرين شدم از شور عشق‏
",3
174,سبب و اسباب ,"گفت گفتم من چنين عذرى و او		گفت نه من نيستم اسباب جو
",0.5
175,جان او بیند بهشت و نار را  بازداند جمله اسرار را,جوش نطق از دل نشان دوستى است‏  بستگى نطق از بى‏الفتى است‏,4
176,سرپوشی  رازداری,آن امير از مكر بر عيسى تند  عيسى اندر خانه رو پنهان كند,3
177,تجلی خداوند,"گفت يارا در درونم حجتى است‏		بر حدوث آسمانم آيتى است‏
",1.5
178,سماع,دارد آوازى نه اندر خورد گوش‏  هست آوازش نهان در گوش نوش‏,4
179,تقلید,امر حق جان است و من آن را تبع‏  او طمع فرمود ذل من طمع‏,3.5
180,ولی,اللَّه اللَّه جمله فرزندان بيار  كاين زمان گلشن است و نو بهار,1.5
181,وحدت وجود,پس دوتا باید کمند اندر صور  گرچه یکتا باشد آن دو در اثر,5
182,آن تاسف، و آن فغان و آن نیاز  درگذشتی از دو صد ذکر و نماز,علم چون بر دل زند يارى شود  علم چون بر تن زند بارى شود,3.5
183,ضرورت پیروی از پیر,پس صله ياران ره لازم شمار  هر كه باشد گر پياده گر سوار,2.5
184,همچو کوره عشق را، سوزیدنی است   هرکه او زین کور باشد کوره نیست,مست را چون دل مزاح انديشه شد  اين ندانم و آن ندانم پيشه شد,3
185,معرفت ذات  معرفت صفات,علمهاى اهل دل حمالشان‏  علمهاى اهل تن احمالشان‏,4
186,ضرورت پیروی از پیر و اولیا,هر كه او بر خو و بر طبع تو زيست‏  پيش طبع تو ولى است و نبى است‏,2.5
187,دوش دیگر لون این می داد دست  لقمۀ چندی درآمد، ره ببست,كه نماند هيچ مهمان بى‏نوا  هر كسى يابد غذاى خود جدا,4
188,عشق و معشوق,"بار ديگر شاعر از سوداى داد		روى سوى آن شه محسن نهاد
",0
189,هوش جزوی و کلی,هوش را توزيع كردى بر جهات‏  مى‏نيرزد تره‏اى آن ترهات‏,3.5
190,هستی و خداوند,اذْكُرْنِي عِنْدَ رَبِّكَ‏,0
191,کریم بودن خداوند,"رو بجو يار خدايى را تو زود		چون چنان كردى خدا يار تو بود
",2
192,عشق,هر که را جامه ز عشقی چاک شد   او ز عیب و حرص کلی پاک شد,5
193,در پناه لطف حق بايد گريخت‏  كاو هزاران لطف بر ارواح ريخت‏,غير حق را گر نباشد اختيار  خشم چون مى‏آيدت بر جرم دار,2.5
194,جنس  هم جنس,چون بهشتى جنس جنت آمده‏ست‏  هم ز جنسيت شود يزدان پرست‏,3.5
195,سبب و اسباب ,چار طبع و علت اولى نى‏ام‏  در تصرف دايما من باقى‏ام‏,5
196,اتحاد ظاهر و مظهر,چون به صورت بنگری چشم تو دوست  تو به نورش در نگر کز چشم رست,5
197,گفتم: آخر غرق توست این عقل و جان  گفت: رور رو، بر من این افسون مخوان,بهر استعداد تا اكنون نشست‏  شوق از حد رفت و آن نامد به دست‏,2.5
198,در عدم هستى برادر چون بود  ضد اندر ضد چون مكنون بود,هين مقابل شو تو و خصم و بگو  پاسخ خصم و بكن دفع عدو,3.5
199,کریم بودن خداوند,شش جهت عالم همه اکرام اوست  هر طرف که بنگری اعلام اوست,5
200,از من ار کوه احد واقف بدی  پاره گشتی و دلش پرخون شدی,آن مريد ساده از تقليد نيز  گريه‏اى مى‏كرد وفق آن عزيز,3.5
201,طلب,گر تو این انبان ز نان خالی کنی  پر ز گوهرهای اجلالی کنی,5
202,هستی و خداوند,شكر مى‏كن مر خدا را در نعم‏  نيز مى‏كن شكر و ذكر خواجه هم‏,2.5
203,معرفت,دانش ناقص نداند فرق را  لاجرم خورشيد داند برق را,4
204,عشق مجازی و حقیقی,عشق معشوقان دو رخ افروخته‏  عشق عاشق جان او را سوخته‏,3
205,فنا و عشق,ليك عشق عاشقان تن زه كند  عشق معشوقان خوش و فربه كند,4
206,اين همه ترسنده‏اند از نيك و بد  هيچ ترسنده نترسد خود ز خود,گفت ترسايان پناه جان كنند  دين خود را از ملك پنهان كنند,3
207,خواب بردش، مرغ جانش از حبس رست  چنگ و چنگی را رها کرد و بجست,چاشنيى دان تو حال خواب را  پيش محمولى حال اوليا,3.5
208,حکایت اختلاف کردن در چگونگی و شکل پیل,جلوه گاه و اختيارم آن پر است‏  بر كنم پر را كه در قصد سر است‏,2
209,یک حکایت بشنو از تاریخ گوی  تا بری زین راز سرپوشیده بوی,هر حسد از دوستى خيزد يقين‏  كه شود با دوست غيرى همنشين‏,2.5
210,ضد,ضد، ضد را بود و هستى كى دهد  بلك ازو بگريزد و بيرون جهد,4
211,کای کریمی که در آن لیل وحش  گنج رحمت بنهی و چندین چشش,"از خدا جوييم توفيق ادب‏		بى‏ادب محروم گشت از لطف رب*
",1.5
212,پیوند عشق مجازی با عشق حقیقی,عقل حيران كه چه عشق است و چه حال‏  تا فراق او عجبتر يا وصال‏,2.5
213,هوشیاری,هر كه بيدار است او در خواب‏تر  هست بيداريش از خوابش بتر,3.5
214,ضد,ز آن كه ضد را ضد كند پيدا يقين‏  ز آن كه با سركه پديد است انگبين‏,5
215,ضرورت پیروی از اولیاء,آن كه گويند اوليا در كه بوند  تا ز چشم مردمان پنهان شوند,3.5
216,تا خیال دوست در اسرار ماست  چاکری و جانسپاری کار ماست,"عقل در شرحش چو خر در گل بخفت‏		شرح عشق و عاشقى هم عشق گفت‏
",2
217,سماع,در شنود گوش تبديل صفات‏  در عيان ديدها تبديل ذات‏,5
218,حکم و قدر,گفت قاضى واجب آيدمان رضا  هر قفا و هر جفا كارد قضا,2
219,فنا و بقا,مرده بود و زنده گشت او از شگفت‏  اژدها بر خويش جنبيدن گرفت‏,2.5
220,خیال و وهم و گمان,آن كه انكار حقايق مى‏كند  جملگى او بر خيالى مى‏تند,3.5
221,ولی,گفت پیغمبر که: اصحابی نجوم  ره روان را شمع و شیطان را رجوم,5
222,چون نکرد آن کار مزدش هست لا  لیس للانسان الا ما سعی,"كه امتحان كرديم و ما را كى رسد		امتحان تو اگر نبود حسد
",0.5
223,چشم گويد كرده‏ام غمزه‏ى حرام‏  گوش گويد چيده‏ام سوء الكلام‏,چشم گويد كرده‏ام غمزه‏ى حرام‏  گوش گويد چيده‏ام سوء الكلام‏,3.5
224,تاویل,اين حميراء لفظ تانيث است و جان‏  نام تانيث‏اش نهند اين تازيان‏,4
225,در گلستان عدم چون بی‌خودیست  مستی از سغراق لطف ایزدیست," إِنَّ كَيْدَكُنَّ عَظِيمٌ‏
",0
226,هوشیاری و بیهوشی,بى‏حس و بى‏گوش و بى‏فكرت شويد  تا خطاب‏ ارْجِعِي‏ را بشنويد,3.5
227,لذت,"زين گذر كن اى پدر نوروز شد		خلق از خلاق خوش پدفوز شد
",0.5
228,دوست گیری چیزها را از اثر  پس چرا ز آثاربخشی بی‌خبر,"علم نيرنجات و سحر و فلسفه‏		گر چه نشناسند حق المعرفه‏
",1.5
229,ذوق پنهان، نقش نان چون سفره ایی است  نان بی سفره ولی را بهره یی ست,از صفاتش رسته‏اى و اللَّه نخست‏  در صفاتش باز رو چالاك و چست‏,3
230,عقل ,باز عقلی کو رمد از عقل عقل   کرد از غقلی به حیوانات نقل,5
231,کین سبب را آن سبب آورد پیش  بی‌سبب کی شد سبب هرگز ز خویش,"هست افزونى هر ذاتى دليل‏		كاو بود حادث به علتها عليل‏
",1
